ISO3,Country,EGDI,OSI,TII,HCI,Penetration_Pct,Year_Used,p,T_adj_EGDI,Phi_EGDI,T_adj_OSI,Phi_OSI,R_facade,I_egov,Signed_Div
ERI,Eritrea,0.1576,0.0,0.1405,0.3324,14.34939957,2020,0.1434939957,0.022614653722319997,0.13498534627768,0.0,0.0,6.968932707753709,0.1405,-0.1405
ALB,Albania,0.8,0.8144,0.775,0.8106,83.13559161,2023,0.8313559161,0.66508473288,0.13491526712,0.67705625807184,0.13734374192815998,1.2028542536764897,0.03939999999999999,0.03939999999999999
BRA,Brazil,0.8403,0.9063,0.8069,0.8077,84.15060238,2023,0.8415060238,0.70711751179914,0.13318248820086004,0.7626569093699399,0.14364309063006006,1.1883456228682556,0.09940000000000004,0.09940000000000004
GMB,Gambia,0.2552,0.0955,0.3877,0.2823,48.72829819,2023,0.48728298189999997,0.12435461698087999,0.13084538301912,0.046535524771449996,0.048964475228550006,2.052195617628238,0.2922,-0.2922
GRC,Greece,0.8674,0.8145,0.8657,0.9219,85.0102229,2023,0.850102229,0.7373786734346,0.1300213265654,0.6924082655204999,0.12209173447950002,1.1763291118249732,0.05120000000000002,-0.05120000000000002
VEN,Venezuela,0.536,0.3576,0.5391,0.7115,76.33190155,2023,0.7633190155,0.40913899230800005,0.12686100769199998,0.2729628799428,0.08463712005719998,1.3100682410551057,0.18150000000000005,-0.18150000000000005
SRB,Serbia,0.8618,0.854,0.9221,0.8094,85.35746686,2023,0.8535746686,0.73561064939948,0.12618935060052003,0.7289527669843999,0.12504723301560003,1.1715436701515067,0.06810000000000005,-0.06810000000000005
TTO,Trinidad and Tobago,0.6973,0.5999,0.7745,0.7174,81.9681015,2023,0.819681015,0.5715635717595,0.1257364282405,0.4917266408985,0.10817335910149999,1.2199867774173103,0.17459999999999998,-0.17459999999999998
TUR,Türkiye,0.8913,0.9225,0.8322,0.9192,85.96074155,2023,0.8596074155,0.7661680894351499,0.12513191056485,0.79298784079875,0.12951215920125003,1.1633217466118986,0.09029999999999994,0.09029999999999994
PRT,Portugal,0.8415,0.7878,0.8979,0.8389,85.79012676,2023,0.8579012676000001,0.7219239166854001,0.11957608331459994,0.67585461861528,0.11194538138471993,1.16563529833395,0.11010000000000009,-0.11010000000000009
